Character,MBTI,Enneagram,Instinctual_Variant,Tritype,Socionics,Big_5,Attitudinal_Psyche,Temperament,Classic_Jungian
Senju Kawaragi,ESFP,8w7,sp/sx,863,SEE,RLOAN,EVFL,SC,ES(F)
Yatora Yaguchi,ESFJ,3w2,sp/so,396,ESE,SLOAI,VEFL,SM,EF(S)
Madara Uchiha,ENTJ,8w9,sx/so,835,SLE,RCOEI,VFLE,C,ET(N)
Meguru Bachira,ESTP,7w8,sx/sp,748,ESE,SCUAI,FVEL,S,ES(F)
Pieck Finger,INTP,9w1,sp/so,952,SLI,RCUAI,FLEV,P,IT(N)
Guts,ISTP,6w5,sx/sp,684,SLI,RLUEN,FVEL,CM,IS(T)
Arataka Reigen,ENTP,3w4,sp/so,371,LIE,SCOEI,VLEF,SC,EN(T)
Alphonse Elric,INFP,9w1,so/sp,926,EII,RCUAI,ELFV,P,IF(N)
Yu Ishigami,INTP,6w5,sp/sx,649,ILI,RLUAI,LFEV,M,IN(T)
Tomura Shigaraki,INTP,6w5,sx/sp,684,ILI,RLUEI,LVEF,MC,IT(N)
Reze,ENTP,3w2,sx/so,378,EIE,SCUEI,ELFV,PS,EN(F)
Roronoa Zoro,ISTP,8w9,sp/sx,863,ESI,RCUEN,VFLE,PC,IF(S)
Madoka Kaname,ISFJ,9w1,so/sp,926,SEI,RCOAN,FELV,P,IS(F)
Meliodas,ENTP,7w8,sx/so,728,IEE,SCUEI,VEFL,SC,ES(T)
Akaashi Keiji,INTJ,6w5,sp/so,693,LII,RCOAI,LFVE,PM,IS(T)
Tohru Honda,ESFJ,9w1,so/sx,926,SEI,SCOAI,FELV,PS,EF(S)
Yuta Okkotsu,INFJ,6w5,sp/sx,694,EII,RLOAN,ELVF,MP,IF(N)
Zeke Yeager,INTP,5w4,sp/sx,549,ILI,RCOEI,LVEF,M,IT(N)
Ai Ohto,ISFP,9w8,sp/sx,946,IEI,RCUAN,FEVL,PS,IS(F)
Mary Saotome,ESTJ,8w9,sp/so,836,LSE,SLOEN,VFLE,C,ET(S)
Gabi Braun,ESFP,3w4,so/sx,387,SEE,SLUEN,VFEL,C,ET(S)
Lain Iwakura,INTP,5w4,sp/sx,594,ILI,RLUEI,LVEF,P,IN(T)
Nico Robin,INTP,5w6,sp/so,514,ILI,RCOAI,LVEF,MP,IT(N)
Michael Kaiser,ENTP,3w4,so/sx,387,SLE,SCOEI,VFLE,CS,ES(T)
Bertholdt Hoover,ISFJ,9w1,sp/so,964,SEI,RLUAN,FELV,M,IS(F)
Yuuki Izumi,ENFP,9w1,so/sx,927,EII,RLUAI,EVLF,MS,EN(F)
Sakunosuke Oda,INFJ,9w1,sp/so,926,EII,RCOAN,LEVF,P,IF(N)
Mahito,ENTP,7w8,sp/sx,748,ILE,SCUEI,FLVE,SP,EN(T)
Yelena,INTJ,1w9,sx/sp,163,LSI,SCOEI,VLEF,CM,IN(T)
Nana Komatsu,ESFJ,2w3,sp/sx,269,ESE,SLUAI,EFLV,S,EF(S)
Chitanda Eru,ENFP,7w6,sx/so,792,IEE,SCUAI,EVLF,SP,EN(F)
Keisuke Baji,ESTP,8w7,sx/so,863,SEE,SLUAN,FVEL,C,ES(F)
Hitoshi Shinso,INTP,5w6,sp/sx,584,ILI,RCUEI,LVFE,M,IT(N)
Giorno Giovanna,INTJ,1w9,sp/so,154,LII,RCOAI,LVFE,PM,IN(T)
Legoshi,INFP,9w1,sx/so,946,EII,RLUAI,ELFV,M,IF(N)
Momo Yaoyorozu,ISFJ,6w5,sp/so,612,ESI,RCOAI,LEVF,PM,IS(F)
Violet Evergarden,ISTJ,6w5,so/sp,612,ESI,RCOAN,FVEL,P,IS(F)
Temari,ESTJ,8w9,so/sp,863,LSE,SCOEN,VFEL,C,ET(S)
Shouya Ishida,ISTP,6w7,sp/sx,694,SLI,RLUAI,FLEV,PM,IS(T)
Miyako Shikimori,ENFJ,3w2,sx/so,368,EIE,SCOAN,VEFL,PS,EF(N)
Mikaela Hyakuya,INFJ,1w9,sp/sx,162,ESI,RLOEI,LVEF,MC,IF(S)
Eijirou Kirishima,ESFP,6w7,so/sx,629,ESE,SCUAN,EFVL,S,EF(S)
Gintoki Sakata,INTP,9w8,sp/sx,974,SLI,RCUEI,FLEV,P,IS(T)
Akaza,ESTP,8w9,sx/sp,845,SEE,SLOEN,FVLE,CS,ES(F)
Usopp,ENTP,6w7,sp/so,639,ESE,SLOAI,ELVF,SC,EN(F)
Sosuke Aizen,INTJ,3w4,so/sp,385,LIE,RCOEI,VLFE,CM,ET(N)
Obito Uchiha,ENFP,4w3,sx/so,461,IEE,SLUAI,EVLF,MS,EN(F)
Nana Osaki,ISFP,4w3,sp/sx,486,ESI,RLUEN,VFEL,CM,IF(S)
Naomi Misora,INFJ,6w5,sp/so,612,ILI,RCOAI,LEVF,MP,IN(T)
Chihiro Ogino,INFP,6w7,sp/so,694,IEE,RLUAI,EVLF,P,IF(N)
Chika Fujiwara,ENFP,7w6,sx/so,729,IEE,SCUAI,EVFL,S,EN(F)
Ryoji Kaji,ENTP,7w8,sp/so,793,ILE,SCUAI,FLEV,PS,EN(T)
Tenya Iida,ESTJ,1w2,so/sp,163,LSE,SCOAN,VLFE,C,ET(S)
Jonathan Joestar,ENFJ,1w2,so/sp,126,ESI,SCOAI,EVLF,PS,EF(S)
Josuke Higashikata,ENFP,9w8,so/sx,792,ESE,SCUAI,EFLV,PS,EN(F)
Kuromi,ISFP,4w3,sx/sp,487,SEE,RLUEN,EFVL,C,IF(S)
Isabella,ENFJ,8w9,sp/so,836,EIE,SCOAN,VELF,CM,EF(N)
Retsuko,ISFJ,9w1,so/sp,926,SEI,RLOAN,FEVL,MP,IS(F)
Canute,INTJ,1w9,sp/so,164,EIE,RLOAI,VLEF,MC,IN(F)
Tomoko Kuroki,INFP,4w3,so/sp,469,IEI,RLUEI,ELVF,MC,IF(N)
Miya Chinen,ENTJ,3w4,sp/so,386,LIE,SCOEI,VFEL,PC,ET(N)
